ts,flow_duration,flow_byte,src_mac,dst_mac,src_ip,dst_ip,src_port,dst_port,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time
1709578277.099399,0.0,87,00:0c:29:69:89:72,00:0c:29:75:b1:c6,192.168.20.102,192.168.30.10,46440.0,53.0,17,64,2244.593752090441,2244.593752090441,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578277.099399,1709578277.099399,1709578277.099399,1709578277.099399,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1265,60,164,105.41666666666667,42.21069835427455,87,0.03963303565979004,12,546304,14.520101009749668,49.66694630793759,326.99999999999994,0.04107806473546617,36,0,0,0,0,1709578277.099399,0.0
1709578633.38779,0.0,1514,00:0c:29:75:b1:c6,00:0c:29:2c:e1:e2,192.168.20.1,192.168.20.10,80.0,56552.0,6,64,2244.593752090441,2244.593752090441,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1709578633.38779,1709578633.38779,1709578633.38779,1709578633.38779,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2779,60,1514,213.76923076923077,377.5288381946988,1514,356.28839087486267,13,546304,20.381480856521733,503.5372052988552,280.2857142857157,106.00683246769127,42,0,0,0,0,1709578633.38779,0.0
1709578633.387845,5.507469177246094e-05,3028,00:0c:29:75:b1:c6,00:0c:29:2c:e1:e2,192.168.20.1,192.168.20.10,80.0,56552.0,6,64,36314.320346320346,36314.320346320346,0.0,0,0,0,0,1,0,0,0,0,0,0,0,2,1709578633.387845,1709578633.38779,3419157266.775635,1709578633.3878174,2.753760391378686e-05,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4293,60,1514,306.64285714285717,494.44826497288255,1514,5.507469177246094e-05,14,546304,23.850227112825014,622.040571202733,245.25000000000318,162.2998558047385,48,0,0,0,0,5.507469177246094e-05,5.507469177246094e-05
1709578633.387892,0.00010204315185546875,4542,00:0c:29:75:b1:c6,00:0c:29:2c:e1:e2,192.168.20.1,192.168.20.10,80.0,56552.0,6,64,29399.327102803738,29399.327102803738,0.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1709578633.387892,1709578633.38779,5128735900.163527,1709578633.3878422,4.1703037633399174e-05,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5807,60,1514,387.1333333333333,564.6968350854781,1514,4.696846008300781e-05,15,546304,26.232930958371135,676.851965597599,218.00000000000404,192.3462561986378,54,0,0,0,0,4.696846008300781e-05,0.00010204315185546875
1709578633.387938,0.0001480579376220703,6056,00:0c:29:75:b1:c6,00:0c:29:2c:e1:e2,192.168.20.1,192.168.20.10,80.0,56552.0,6,64,27016.450885668277,27016.450885668277,0.0,0,0,0,0,1,0,0,0,0,0,0,0,4,1709578633.387938,1709578633.38779,6838314533.551464,1709578633.387866,5.496440306147966e-05,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,7321,60,1514,457.5625,611.0289445629805,1514,4.601478576660156e-05,16,546304,27.99345161521411,703.2621362068501,196.20000000000292,207.72902732676053,60,0,0,0,0,4.601478576660156e-05,0.0001480579376220703
1709578633.387988,0.00019812583923339844,7570,00:0c:29:75:b1:c6,00:0c:29:2c:e1:e2,192.168.20.1,192.168.20.10,80.0,56552.0,6,64,25236.486161251505,25236.486161251505,0.0,0,0,0,0,1,0,0,0,0,0,0,0,5,1709578633.387988,1709578633.38779,8547893166.939452,1709578633.3878903,6.922273126024712e-05,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,8835,60,1514,519.7058823529412,642.7931480203165,1514,5.0067901611328125e-05,17,546304,29.35544965151146,714.7319334443033,178.36363636364032,214.59304721704498,66,0,0,0,0,5.0067901611328125e-05,0.00019812583923339844
1709578633.388036,0.0002460479736328125,9084,00:0c:29:75:b1:c6,00:0c:29:2c:e1:e2,192.168.20.1,192.168.20.10,80.0,56552.0,6,64,24385.488372093023,24385.488372093023,0.0,0,0,0,0,1,0,0,0,0,0,0,0,6,1709578633.388036,1709578633.38779,10257471800.327488,1709578633.3879147,8.32400151389268e-05,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,10349,60,1514,574.9444444444445,664.9063820671149,1514,4.792213439941406e-05,18,546304,30.443937546469467,717.6866578729807,163.50000000000423,216.37926870728364,72,0,0,0,0,4.792213439941406e-05,0.0002460479736328125
1709578633.388137,0.000347137451171875,9138,00:0c:29:2c:e1:e2,00:0c:29:75:b1:c6,192.168.20.10,192.168.20.1,56552.0,80.0,6,128,20164.923076923078,20164.923076923078,0.0,0,0,0,0,1,0,0,0,0,0,0,0,7,1709578633.388137,1709578633.38779,11967050433.715626,1709578633.3879466,0.00010948594727781657,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,10403,54,1514,547.5263157894736,657.5436242018714,54,0.0001010894775390625,19,546304,30.26785187526292,717.9285204978402,-7490.880952380954,188.7237538624879,84,0,0,0,0,0.0001010894775390625,0.000347137451171875
1709578633.388216,0.0004260540008544922,10652,00:0c:29:75:b1:c6,00:0c:29:2c:e1:e2,192.168.20.1,192.168.20.10,80.0,56552.0,6,64,18776.962506994965,18776.962506994965,0.0,0,0,0,0,1,0,0,0,0,0,0,0,8,1709578633.388216,1709578633.38779,13676629067.103842,1709578633.3879802,0.00013574824047266702,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,11917,54,1514,595.85,674.6212474418517,1514,7.891654968261719e-05,20,546304,31.164399243684777,715.8101350909003,-6914.659340659342,187.60577326465088,91,0,0,0,0,7.891654968261719e-05,0.0004260540008544922
1709578633.388269,0.00047898292541503906,12166,00:0c:29:75:b1:c6,00:0c:29:2c:e1:e2,192.168.20.1,192.168.20.10,80.0,56552.0,6,64,18789.813837730213,18789.813837730213,0.0,0,0,0,0,1,0,0,0,0,0,0,0,9,1709578633.388269,1709578633.38779,15386207700.492111,1709578633.3880124,0.0001568756405812905,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1514,1514,1514,1514.0,0.0,1514,5.2928924560546875e-05,1,546304,38.91015291668744,0.0,0.0,0.0,0,0,0,0,0,5.2928924560546875e-05,0.00047898292541503906
1709578633.388316,0.0005259513854980469,13680,00:0c:29:75:b1:c6,00:0c:29:2c:e1:e2,192.168.20.1,192.168.20.10,80.0,56552.0,6,64,19013.164097914778,19013.164097914778,0.0,0,0,0,0,1,0,0,0,0,0,0,0,10,1709578633.388316,1709578633.38779,17095786333.880426,1709578633.3880427,0.0001744773323204903,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3028,1514,1514,1514.0,0.0,1514,4.696846008300781e-05,2,546304,38.91015291668744,0.0,0.0,0.0,0,0,0,0,0,4.696846008300781e-05,0.0005259513854980469
1709578633.388401,0.0006110668182373047,13734,00:0c:29:2c:e1:e2,00:0c:29:75:b1:c6,192.168.20.10,192.168.20.1,56552.0,80.0,6,128,18001.304721030043,18001.304721030043,0.0,0,0,0,0,1,0,0,0,0,0,0,0,11,1709578633.388401,1709578633.38779,18805364967.26883,1709578633.3880754,0.00019566764019396005,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3082,54,1514,1027.3333333333333,688.2506003549063,54,8.511543273925781e-05,3,546304,39.59797974644666,0.0,0.0,0.0,2,0,0,0,0,8.511543273925781e-05,0.0006110668182373047
